gene_name,old_annotation,GOs,pfams,signalP,TMHMM
LOC105249313,60S ribosome subunit biogenesis protein NIP7 homolog,NA,PF03657|UPF0113 PUA domain; PF17833|UPF0113 Pre-PUA domain,0,0
LOC105249314,chitinase-3-like protein 2 isoform X1,GO:0005975|carbohydrate metabolic process,PF00704|Glycosyl hydrolases family 18,0,1
LOC105249315,signal recognition particle 54 kDa protein,GO:0003924|GTPase activity; GO:0005525|GTP binding; GO:0006614|SRP-dependent cotranslational protein targeting to membrane; GO:0008312|7S RNA binding; GO:0048500|signal recognition particle,"PF02881|SRP54-type protein, helical bundle domain; PF02978|Signal peptide binding domain; PF00448|SRP54-type protein, GTPase domain",0,0
LOC105249316,COP9 signalosome complex subunit 1,GO:0000338|protein deneddylation; GO:0008180|COP9 signalosome,PF10602|26S proteasome subunit RPN7; PF01399|PCI domain,0,0
LOC105249317,homeobox protein engrailed-1a,GO:0003677|DNA binding,PF00046|Homeodomain,0,0
LOC105249318,adenylosuccinate synthetase,GO:0004019|adenylosuccinate synthase activity; GO:0005525|GTP binding; GO:0006164|purine nucleotide biosynthetic process,PF00709|Adenylosuccinate synthetase,0,0
LOC105249319,WD repeat-containing protein 37,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat",0,0
LOC105249320,protein ARV1,GO:0032366|intracellular sterol transport,PF04161|Arv1-like family,0,4
LOC105249321,alcohol dehydrogenase,GO:0016491|oxidoreductase activity; GO:0055114|oxidation-reduction process,PF00248|Aldo/keto reductase family,0,0
LOC105249322,alcohol dehydrogenase,GO:0016491|oxidoreductase activity; GO:0055114|oxidation-reduction process,PF00248|Aldo/keto reductase family,0,0
LOC105249323,DNA replication licensing factor Mcm5,GO:0003677|DNA binding; GO:0005524|ATP binding; GO:0006270|DNA replication initiation,PF17207|MCM OB domain; PF14551|MCM N-terminal domain; PF00493|MCM P-loop domain; PF17855|MCM AAA-lid domain,0,0
LOC105249325,cytochrome b561 isoform X1,GO:0005765|lysosomal membrane; GO:0016491|oxidoreductase activity; GO:0031902|late endosome membrane; GO:0046872|metal ion binding,PF03188|Eukaryotic cytochrome b561,0,6
LOC105249327,protein grindelwald,NA,NA,0,1
LOC105249328,aminopeptidase N,GO:0008237|metallopeptidase activity; GO:0008270|zinc ion binding,PF11838|ERAP1-like C-terminal domain; PF01433|Peptidase family M1 domain; PF17900|Peptidase M1 N-terminal domain,1,1
LOC105249329,SET and MYND domain-containing protein 4 isoform X1,GO:0005515|protein binding,PF00856|SET domain,0,1
LOC105249330,growth factor receptor-bound protein 14 isoform X1,NA,PF08947|BPS (Between PH and SH2); PF00017|SH2 domain,0,0
LOC105249331,nuclease-sensitive element-binding protein 1 isoform X1,GO:0003676|nucleic acid binding,PF00313|'Cold-shock' DNA-binding domain,0,0
LOC105249332,mucin-5AC,NA,NA,0,1
LOC105249333,ATPase family AAA domain-containing protein 3A homolog,GO:0005524|ATP binding; GO:0005739|mitochondrion; GO:0007005|mitochondrion organization,PF00004|ATPase family associated with various cellular activities (AAA); PF12037|Domain of unknown function (DUF3523),0,0
LOC105249334,uncharacterized protein LOC105249334,GO:0015074|DNA integration,PF13976|GAG-pre-integrase domain; PF00665|Integrase core domain,0,0
LOC105249335,scavenger receptor class B member 1,GO:0016020|membrane,PF01130|CD36 family,0,2
LOC105249336,scavenger receptor class B member 1,GO:0016020|membrane,PF01130|CD36 family,0,2
LOC105249337,NADH-ubiquinone oxidoreductase 49 kDa subunit,"GO:0016651|oxidoreductase activity, acting on NAD(P)H; GO:0048038|quinone binding; GO:0051287|NAD binding; GO:0055114|oxidation-reduction process","PF00346|Respiratory-chain NADH dehydrogenase, 49 Kd subunit",1,0
LOC105249338,ankyrin-1 isoform X3,GO:0005515|protein binding,PF07525|SOCS box; PF00023|Ankyrin repeat; PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies),0,0
LOC105249339,broad-complex core protein isoforms 1/2/3/4/5,GO:0005515|protein binding,PF00651|BTB/POZ domain,0,0
LOC105249340,nascent polypeptide-associated complex subunit alpha isoform X1,GO:0005854|nascent polypeptide-associated complex,PF01849|NAC domain,0,0
LOC105249341,DNA-directed RNA polymerase II subunit RPB9,"GO:0003676|nucleic acid binding; GO:0006351|transcription, DNA-templated; GO:0008270|zinc ion binding",PF01096|Transcription factor S-II (TFIIS); PF02150|RNA polymerases M/15 Kd subunit,0,0
LOC105249342,prenylcysteine oxidase,GO:0001735|prenylcysteine oxidase activity; GO:0030328|prenylcysteine catabolic process; GO:0055114|oxidation-reduction process,PF13450|NAD(P)-binding Rossmann-like domain; PF07156|Prenylcysteine lyase,1,1
LOC105249343,solute carrier family 35 member E2,NA,PF03151|Triose-phosphate Transporter family,0,7
LOC105249344,cystathionine gamma-lyase,GO:0019346|transsulfuration; GO:0030170|pyridoxal phosphate binding,PF01053|Cys/Met metabolism PLP-dependent enzyme,0,0
LOC105249345,transmembrane protein 59-like isoform X2,NA,PF12280|Brain specific membrane anchored protein,1,1
LOC105249346,uncharacterized protein LOC105249346,GO:0005515|protein binding,PF00536|SAM domain (Sterile alpha motif); PF00628|PHD-finger,0,0
LOC105249347,uncharacterized protein LOC105249347 isoform X1,NA,NA,0,0
LOC105249348,interference hedgehog isoform X1,GO:0005515|protein binding,PF13927|Immunoglobulin domain; PF13927|Immunoglobulin domain; PF13895|Immunoglobulin domain; PF00041|Fibronectin type III domain,1,1
LOC105249349,LMBR1 domain-containing protein 2 homolog isoform X2,NA,PF04791|LMBR1-like membrane protein,0,7
LOC105249350,BBSome-interacting protein 1,GO:0034464|BBSome; GO:0060271|cilium assembly,PF14777|Cilia BBSome complex subunit 10,0,0
LOC105249351,glycogen debranching enzyme,"GO:0004134|4-alpha-glucanotransferase activity; GO:0004135|amylo-alpha-1,6-glucosidase activity; GO:0005980|glycogen catabolic process","PF06202|Amylo-alpha-1,6-glucosidase; PF14701|Glycogen debranching enzyme, glucanotransferase domain; PF14699|N-terminal domain from the human glycogen debranching enzyme; PF14702|Central domain of human glycogen debranching enzyme",0,0
LOC105249352,proteasome adapter and scaffold protein ECM29,GO:0043248|proteasome assembly; GO:0060090|molecular adaptor activity,PF13001|Proteasome stabiliser,0,0
LOC105249353,pumilio homolog 3,GO:0003723|RNA binding,PF08144|CPL (NUC119) domain,0,0
LOC105249355,endoplasmic reticulum junction formation protein lunapark-B,GO:0071786|endoplasmic reticulum tubular network organization,PF10058|Predicted integral membrane zinc-ribbon metal-binding protein,0,2
LOC105249356,homeodomain-only protein-like,GO:0003677|DNA binding; GO:0030154|cell differentiation,PF00046|Homeodomain,0,0
LOC105249357,ejaculatory bulb-specific protein 3,NA,"PF03392|Insect pheromone-binding family, A10/OS-D",1,0
LOC105249358,uncharacterized protein LOC105249358 isoform X1,GO:0005242|inward rectifier potassium channel activity; GO:0006813|potassium ion transport; GO:0016021|integral component of membrane,PF01007|Inward rectifier potassium channel transmembrane domain; PF17655|Inward rectifier potassium channel C-terminal domain,0,3
LOC105249359,G protein-activated inward rectifier potassium channel 3,GO:0005242|inward rectifier potassium channel activity; GO:0006813|potassium ion transport; GO:0016021|integral component of membrane,PF17655|Inward rectifier potassium channel C-terminal domain; PF01007|Inward rectifier potassium channel transmembrane domain,0,2
LOC105249360,flavin-containing monooxygenase FMO GS-OX-like 2,"GO:0004499|N,N-dimethylaniline monooxygenase activity; GO:0050660|flavin adenine dinucleotide binding; GO:0050661|NADP binding; GO:0055114|oxidation-reduction process",PF00743|Flavin-binding monooxygenase-like; PF00743|Flavin-binding monooxygenase-like,0,0
LOC105249361,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wdr4,GO:0005515|protein binding; GO:0036265|RNA (guanine-N7)-methylation,"PF00400|WD domain, G-beta repeat",0,0
LOC105249363,cilia- and flagella-associated protein 61,NA,PF16092|Domain of unknown function (DUF4821); PF16092|Domain of unknown function (DUF4821),0,0
LOC105249364,synaptic functional regulator FMR1 isoform X1,GO:0003729|mRNA binding; GO:0006417|regulation of translation,PF18336|Fragile X mental retardation Tudor domain; PF12235|Fragile X-related 1 protein core C terminal; PF00013|KH domain; PF00013|KH domain; PF17904|FMRP KH0 domain,0,0
LOC105249367,dentin sialophosphoprotein,NA,NA,0,0
LOC105249369,tetratricopeptide repeat protein 25 isoform X2,NA,PF13432|Tetratricopeptide repeat,0,0
LOC105249370,26S proteasome regulatory subunit 10B,"GO:0005524|ATP binding; GO:0008540|proteasome regulatory particle, base subcomplex; GO:0016887|ATPase activity; GO:0030433|ubiquitin-dependent ERAD pathway",PF17862|AAA+ lid domain; PF16450|Proteasomal ATPase OB C-terminal domain; PF00004|ATPase family associated with various cellular activities (AAA),0,0
LOC105249371,cyclin-dependent kinases regulatory subunit isoform X2,GO:0016538|cyclin-dependent protein serine/threonine kinase regulator activity,PF01111|Cyclin-dependent kinase regulatory subunit,0,0
LOC105249372,5\'-3\' exoribonuclease 2 homolog isoform X1,GO:0003676|nucleic acid binding; GO:0004527|exonuclease activity,PF03159|XRN 5'-3' exonuclease N-terminus; PF17846|Xrn1 helical domain,0,0
LOC105249373,homeobox protein Nkx-2.4-like,GO:0003677|DNA binding,PF00046|Homeodomain,0,0
LOC105249374,KRR1 small subunit processome component homolog,NA,PF17903|Krr1 KH1 domain,0,0
LOC105249375,polypeptide N-acetylgalactosaminyltransferase 2 isoform X1,NA,PF00535|Glycosyl transferase family 2; PF00652|Ricin-type beta-trefoil lectin domain,0,1
LOC105249376,NA,NA,NA,NA,NA
LOC105249377,aminopeptidase N isoform X1,GO:0008237|metallopeptidase activity; GO:0008270|zinc ion binding,PF01433|Peptidase family M1 domain; PF11838|ERAP1-like C-terminal domain,1,0
LOC105249379,proto-oncogene tyrosine-protein kinase ROS-like isoform X1,GO:0005515|protein binding,PF00041|Fibronectin type III domain,2,1
LOC105249380,restin homolog isoform X5,NA,PF16641|CLIP1 zinc knuckle; PF16641|CLIP1 zinc knuckle; PF01302|CAP-Gly domain; PF01302|CAP-Gly domain,0,0
LOC105249381,sulfotransferase family cytosolic 1B member 1,GO:0008146|sulfotransferase activity,PF00685|Sulfotransferase domain,0,0
LOC105249382,leucine-rich repeat-containing protein 58 isoform X1,GO:0005515|protein binding,PF13855|Leucine rich repeat; PF13855|Leucine rich repeat,0,0
LOC105249384,sodium-independent sulfate anion transporter isoform X1,GO:0008271|secondary active sulfate transmembrane transporter activity; GO:0008272|sulfate transport; GO:0016021|integral component of membrane; GO:0055085|transmembrane transport,PF01740|STAS domain; PF00916|Sulfate permease family,0,11
LOC105249385,proto-oncogene tyrosine-protein kinase ROS,GO:0004672|protein kinase activity; GO:0006468|protein phosphorylation,PF07714|Protein tyrosine kinase,1,1
LOC105249386,uncharacterized protein LOC105249386,NA,"PF03067|Lytic polysaccharide mono-oxygenase, cellulose-degrading",0,0
LOC105249388,uncharacterized protein LOC105249388,NA,NA,0,2
LOC105249389,"DNA-directed RNA polymerases I, II, and III subunit RPABC5","GO:0003677|DNA binding; GO:0003899|DNA-directed 5'-3' RNA polymerase activity; GO:0006351|transcription, DNA-templated",PF01194|RNA polymerases N / 8 kDa subunit,0,0
LOC105249390,proton-coupled amino acid transporter-like protein pathetic,NA,PF01490|Transmembrane amino acid transporter protein,0,10
LOC105249392,lysophosphatidylcholine acyltransferase isoform X2,"GO:0016746|transferase activity, transferring acyl groups",PF01553|Acyltransferase,0,1
LOC105249393,uncharacterized protein LOC105249393,GO:0005515|protein binding,PF00595|PDZ domain,0,0
LOC105249394,uncharacterized protein LOC105249394,GO:0008168|methyltransferase activity,PF08241|Methyltransferase domain,0,0
LOC105249395,alpha-N-acetylgalactosaminidase isoform X2,"GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0005975|carbohydrate metabolic process",PF17450|Alpha galactosidase A C-terminal beta sandwich domain; PF16499|Alpha galactosidase A,0,1
LOC105249396,muscle-specific protein 20,GO:0005515|protein binding,PF00402|Calponin family repeat; PF00307|Calponin homology (CH) domain,0,0
LOC105249397,anaphase-promoting complex subunit 7,GO:0005515|protein binding,PF13176|Tetratricopeptide repeat; PF13181|Tetratricopeptide repeat; PF13432|Tetratricopeptide repeat,0,0
LOC105249398,G-patch domain and KOW motifs-containing protein isoform X1,NA,PF12656|G-patch domain,0,0
LOC105249399,omega-amidase NIT2,GO:0006807|nitrogen compound metabolic process,PF00795|Carbon-nitrogen hydrolase,0,0
LOC105249400,survival motor neuron protein,GO:0003723|RNA binding; GO:0005634|nucleus; GO:0005737|cytoplasm; GO:0006397|mRNA processing,PF06003|Survival motor neuron protein (SMN),0,0
LOC105249401,katanin p60 ATPase-containing subunit A-like 2 isoform X1,GO:0005524|ATP binding,PF17862|AAA+ lid domain; PF00004|ATPase family associated with various cellular activities (AAA),0,0
LOC105249402,sodium-independent sulfate anion transporter,GO:0008271|secondary active sulfate transmembrane transporter activity; GO:0008272|sulfate transport; GO:0016021|integral component of membrane; GO:0055085|transmembrane transport,PF00916|Sulfate permease family; PF01740|STAS domain,0,9
LOC105249403,uncharacterized protein LOC105249403,NA,NA,0,0
LOC105249404,uncharacterized protein LOC105249404,NA,PF14924|Protein of unknown function (DUF4497),0,0
LOC105249405,trichohyalin,NA,NA,0,0
LOC105249406,LOW QUALITY PROTEIN: fatty acid synthase,"GO:0009058|biosynthetic process; GO:0016788|hydrolase activity, acting on ester bonds; GO:0055114|oxidation-reduction process",PF00975|Thioesterase domain; PF08659|KR domain; PF00550|Phosphopantetheine attachment site; PF00107|Zinc-binding dehydrogenase,0,0
LOC105249407,uncharacterized protein LOC105249407,GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane,PF02949|7tm Odorant receptor,0,7
LOC105249408,brefeldin A-inhibited guanine nucleotide-exchange protein 3 isoform X1,NA,PF09324|Domain of unknown function (DUF1981),0,0
LOC105249409,galactokinase isoform X1,GO:0004335|galactokinase activity; GO:0005524|ATP binding; GO:0005534|galactose binding; GO:0006012|galactose metabolic process; GO:0046835|carbohydrate phosphorylation,PF10509|Galactokinase galactose-binding signature; PF08544|GHMP kinases C terminal; PF00288|GHMP kinases N terminal domain,0,0
LOC105249410,protein lozenge isoform X1,"GO:0003677|DNA binding; GO:0003700|DNA-binding transcription factor activity; GO:0005524|ATP binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated",PF00853|Runt domain,0,0
LOC105249411,segmentation protein Runt,"GO:0003677|DNA binding; GO:0003700|DNA-binding transcription factor activity; GO:0005524|ATP binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated",PF00853|Runt domain,0,0
LOC105249412,runt-related transcription factor 3 isoform X4,"GO:0003677|DNA binding; GO:0003700|DNA-binding transcription factor activity; GO:0005524|ATP binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated",PF00853|Runt domain,0,0
LOC105249413,uncharacterized protein LOC105249413,"GO:0003677|DNA binding; GO:0003700|DNA-binding transcription factor activity; GO:0005524|ATP binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated",PF00853|Runt domain,0,0
LOC105249414,sodium/nucleoside cotransporter 1 isoform X2,GO:0005337|nucleoside transmembrane transporter activity; GO:0016020|membrane; GO:1901642|nucleoside transmembrane transport,PF07670|Nucleoside recognition; PF01773|Na+ dependent nucleoside transporter N-terminus; PF07662|Na+ dependent nucleoside transporter C-terminus,0,10
LOC105249415,ceramide-1-phosphate transfer protein,GO:0005737|cytoplasm; GO:0120009|intermembrane lipid transfer; GO:0120013|lipid transfer activity,PF08718|Glycolipid transfer protein (GLTP),0,0
LOC105249416,uncharacterized protein LOC105249416 isoform X2,NA,NA,2,0
LOC105249418,vicilin-like seed storage protein At2g18540 isoform X1,NA,"PF13920|Zinc finger, C3HC4 type (RING finger)",0,0
LOC105249419,uncharacterized protein LOC105249419,NA,NA,0,0
LOC105249420,NAD kinase isoform X2,GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process,PF01513|ATP-NAD kinase,0,0
LOC105249421,uncharacterized protein LOC105249421 isoform X1,NA,PF17820|PDZ domain; PF02759|RUN domain,0,0
LOC105249422,alkaline phosphatase,GO:0016791|phosphatase activity,PF00245|Alkaline phosphatase,0,1
LOC105249423,uncharacterized protein LOC105249423,NA,NA,0,2
LOC105249424,uncharacterized protein LOC105249424 isoform X1,"GO:0006355|regulation of transcription, DNA-templated",NA,0,0
LOC105249425,ly6/PLAUR domain-containing protein 6B isoform X2,GO:0030548|acetylcholine receptor regulator activity,"PF16975|Ly6/PLAUR domain-containing protein 6, Lypd6",1,0
LOC105249426,C-mannosyltransferase dpy-19 isoform X1,GO:0000030|mannosyltransferase activity; GO:0016021|integral component of membrane,PF10034|Q-cell neuroblast polarisation,0,7
LOC105249427,uncharacterized protein LOC105249427,NA,NA,0,6
LOC105249428,uncharacterized protein LOC105249428,NA,NA,0,0
LOC105249429,apyrase isoform X1,GO:0009166|nucleotide catabolic process; GO:0016787|hydrolase activity,"PF02872|5'-nucleotidase, C-terminal domain; PF00149|Calcineurin-like phosphoesterase",1,1
LOC105249430,protein 5NUC,GO:0009166|nucleotide catabolic process; GO:0016787|hydrolase activity,"PF00149|Calcineurin-like phosphoesterase; PF02872|5'-nucleotidase, C-terminal domain",1,1
LOC105249431,SET and MYND domain-containing protein 4,GO:0005515|protein binding,PF00856|SET domain,0,0
LOC105249432,cyclin-G-associated kinase,GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation,PF00069|Protein kinase domain; PF10409|C2 domain of PTEN tumour-suppressor protein; PF00226|DnaJ domain,0,0
LOC105249433,uncharacterized protein LOC105249433,GO:0004970|ionotropic glutamate receptor activity; GO:0016020|membrane,PF10613|Ligated ion channel L-glutamate- and glycine-binding site; PF00060|Ligand-gated ion channel,2,5
LOC105249434,protein mahjong isoform X1,GO:0016567|protein ubiquitination,NA,0,0
LOC105249435,cyclin-dependent kinase 2-interacting protein,NA,NA,0,0
LOC105249436,coiled-coil and C2 domain-containing protein 1-like isoform X2,"GO:0001227|DNA-binding transcription repressor activity, RNA polymerase II-specific",NA,0,0
LOC105249437,circadian locomoter output cycles protein kaput isoform X1,"GO:0003677|DNA binding; GO:0003700|DNA-binding transcription factor activity; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated",PF03131|bZIP Maf transcription factor,0,0
LOC105249438,uncharacterized protein LOC105249438,NA,NA,0,0
LOC105249439,sodium channel protein Nach,GO:0005272|sodium channel activity; GO:0006814|sodium ion transport; GO:0016020|membrane,PF00858|Amiloride-sensitive sodium channel,0,1
LOC105249440,sphingomyelin phosphodiesterase isoform X1,GO:0016787|hydrolase activity,PF00149|Calcineurin-like phosphoesterase,1,1
LOC105249442,uncharacterized protein LOC105249442,NA,PF18701|Family of unknown function (DUF5641); PF05380|Pao retrotransposon peptidase; PF03564|Protein of unknown function (DUF1759); PF17906|HTH domain in Mos1 transposase; PF17921|Integrase zinc binding domain; PF05585|Putative peptidase (DUF1758),0,0
LOC105249444,larval serum protein 1 alpha chain,NA,"PF03722|Hemocyanin, all-alpha domain; PF03723|Hemocyanin, ig-like domain; PF00372|Hemocyanin, copper containing domain",2,0
LOC105249445,trichohyalin isoform X1,NA,NA,0,0
LOC105249447,signal recognition particle 14 kDa protein,"GO:0005786|signal recognition particle, endoplasmic reticulum targeting; GO:0006614|SRP-dependent cotranslational protein targeting to membrane; GO:0008312|7S RNA binding; GO:0030942|endoplasmic reticulum signal peptide binding",PF02290|Signal recognition particle 14kD protein,0,0
LOC105249448,transmembrane emp24 domain-containing protein bai isoform X2,NA,PF01105|emp24/gp25L/p24 family/GOLD,1,2
LOC105249449,contactin,GO:0005515|protein binding,PF13927|Immunoglobulin domain; PF13927|Immunoglobulin domain; PF13927|Immunoglobulin domain; PF00041|Fibronectin type III domain; PF00041|Fibronectin type III domain; PF00041|Fibronectin type III domain,1,0
LOC105249450,succinate--CoA ligase,GO:0003824|catalytic activity; GO:0006099|tricarboxylic acid cycle,PF00549|CoA-ligase; PF08442|ATP-grasp domain,0,0
LOC105249451,filamin-A isoform X4,GO:0005515|protein binding,PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00630|Filamin/ABP280 repeat; PF00307|Calponin homology (CH) domain; PF00307|Calponin homology (CH) domain,0,0
LOC105249452,protein ALP1-like,NA,PF13359|DDE superfamily endonuclease,0,0
LOC105249453,NA,NA,NA,NA,NA
LOC105249454,zinc finger protein 25 isoform X1,GO:0003676|nucleic acid binding; GO:0005634|nucleus; GO:0008270|zinc ion binding,"PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF07776|Zinc-finger associated domain (zf-AD)",0,0
LOC105249455,uncharacterized protein KIAA2013 homolog isoform X2,NA,PF10222|Uncharacterized conserved protein (DUF2152),0,2
LOC105249456,TBC1 domain family member 25 isoform X2,NA,PF00566|Rab-GTPase-TBC domain,0,0
LOC105249457,growth hormone-inducible transmembrane protein-like,NA,PF01027|Inhibitor of apoptosis-promoting Bax1,1,6
LOC105249458,IQCJ-SCHIP1 readthrough transcript protein isoform X4,NA,PF10148|Schwannomin-interacting protein 1,0,0
LOC105249459,rho-associated protein kinase 2 isoform X1,GO:0004674|protein serine/threonine kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0017048|Rho GTPase binding,PF00069|Protein kinase domain; PF08912|Rho Binding,0,0
LOC105249460,uncharacterized protein LOC105249460,GO:0005515|protein binding,PF07707|BTB And C-terminal Kelch; PF00651|BTB/POZ domain,0,0
LOC105249461,ATPase WRNIP1,GO:0005524|ATP binding,PF12002|MgsA AAA+ ATPase C terminal; PF16193|AAA C-terminal domain; PF00004|ATPase family associated with various cellular activities (AAA),0,0
LOC105249462,tafazzin homolog isoform X1,"GO:0006644|phospholipid metabolic process; GO:0016746|transferase activity, transferring acyl groups",PF01553|Acyltransferase,0,0
LOC105249463,protein O-mannosyltransferase 1,GO:0000030|mannosyltransferase activity; GO:0006493|protein O-linked glycosylation; GO:0016020|membrane,PF16192|C-terminal four TMM region of protein-O-mannosyltransferase; PF02366|Dolichyl-phosphate-mannose-protein mannosyltransferase; PF02815|MIR domain,0,9
LOC105249464,dnaJ homolog subfamily C member 21,NA,PF12171|Zinc-finger double-stranded RNA-binding; PF00226|DnaJ domain,0,0
LOC105249465,methyltransferase-like 26,NA,PF06080|Protein of unknown function (DUF938),0,0
LOC105249466,WD repeat-containing protein 7 isoform X3,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat",0,0
LOC105249467,glutamic acid-rich protein-like,GO:0003676|nucleic acid binding,"PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",0,0
LOC105249468,fibroblast growth factor 1,GO:0008083|growth factor activity,PF00167|Fibroblast growth factor,0,0
LOC105249469,short coiled-coil protein B,NA,PF10224|Short coiled-coil protein,0,0
LOC105249470,PX domain-containing protein kinase-like protein isoform X1,GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0035091|phosphatidylinositol binding,PF00069|Protein kinase domain; PF00787|PX domain,0,0
LOC105249471,potassium voltage-gated channel protein Shal isoform X2,GO:0005249|voltage-gated potassium channel activity; GO:0006813|potassium ion transport; GO:0008076|voltage-gated potassium channel complex; GO:0051260|protein homooligomerization; GO:0055085|transmembrane transport,"PF11879|Domain of unknown function (DUF3399); PF11601|Shal-type voltage-gated potassium channels, N-terminal; PF02214|BTB/POZ domain; PF00520|Ion transport protein",1,6
LOC105249472,glycine receptor subunit alpha-2,GO:0004888|transmembrane signaling receptor activity; GO:0005230|extracellular ligand-gated ion channel activity; GO:0016021|integral component of membrane; GO:0034220|ion transmembrane transport,PF02931|Neurotransmitter-gated ion-channel ligand binding domain; PF02932|Neurotransmitter-gated ion-channel transmembrane region,1,4
LOC105249473,protein quiver,"GO:0030431|sleep; GO:0032222|regulation of synaptic transmission, cholinergic; GO:1903818|positive regulation of voltage-gated potassium channel activity",PF17064|Sleepless protein,3,2
LOC105249474,NA,NA,NA,NA,NA
LOC105249475,histidine decarboxylase isoform X2,GO:0016831|carboxy-lyase activity; GO:0019752|carboxylic acid metabolic process; GO:0030170|pyridoxal phosphate binding,PF00282|Pyridoxal-dependent decarboxylase conserved domain,0,0
LOC105249476,probable nuclear hormone receptor HR3 isoform X3,"GO:0003700|DNA-binding transcription factor activity; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0043565|sequence-specific DNA binding","PF00105|Zinc finger, C4 type (two domains); PF00104|Ligand-binding domain of nuclear hormone receptor",0,0
LOC105249478,E3 ubiquitin-protein ligase Rnf220 isoform X1,NA,"PF15926|E3 ubiquitin-protein ligase RNF220; PF13923|Zinc finger, C3HC4 type (RING finger)",0,0
LOC105249479,metabotropic glutamate receptor 8 isoform X2,GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane,PF01094|Receptor family ligand binding region; PF00003|7 transmembrane sweet-taste receptor of 3 GCPR; PF07562|Nine Cysteines Domain of family 3 GPCR,1,7
LOC105249480,LOW QUALITY PROTEIN: coiled-coil domain-containing protein 13,NA,NA,0,0
LOC105249481,uncharacterized protein LOC105249481,GO:0038023|signaling receptor activity,PF02351|GDNF/GAS1 domain; PF02351|GDNF/GAS1 domain,0,1
LOC105249484,nuclear transcription factor Y subunit B-4,NA,PF00808|Histone-like transcription factor (CBF/NF-Y) and archaeal histone,0,0
LOC105249485,protein dopey homolog PFC0245c-like,NA,NA,0,0
LOC105249487,uncharacterized protein LOC105249487 isoform X1,GO:0016055|Wnt signaling pathway,NA,0,0
LOC105249488,glutamate receptor-interacting protein 1 isoform X1,GO:0005515|protein binding,PF00595|PDZ domain; PF00595|PDZ domain; PF17820|PDZ domain; PF17820|PDZ domain,0,0
LOC105249489,solute carrier family 35 member E1 homolog,NA,PF03151|Triose-phosphate Transporter family,0,8
LOC105249490,uncharacterized protein PF11_0213 isoform X1,GO:0004674|protein serine/threonine kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation,PF00433|Protein kinase C terminal domain; PF00069|Protein kinase domain,0,0
LOC105249491,uncharacterized protein LOC105249491,NA,PF16064|Domain of unknown function (DUF4806),0,0
LOC105249493,ran-binding protein 3 isoform X1,GO:0046907|intracellular transport,PF00638|RanBP1 domain,0,0
LOC105249494,transmembrane protein 214-A,NA,"PF10151|TMEM214, C-terminal, caspase 4 activator",0,0
LOC105249495,putative deoxyribonuclease TATDN1,"GO:0016788|hydrolase activity, acting on ester bonds",PF01026|TatD related DNase,0,0
