sc16a_gene,gene_name,GOs,pfams,signalP,TMHMM,sc16a_ccl_up_down,sc16a_ccd_up_down,ccl_ccd_up_down
Ophio5|2900,XA68_12884,GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,PF07690.11|MFS_1;PF07690.11|MFS_1,SignalP: has predicted secretion signal,6,Down,Down,Down
Ophio5|2901,XA68_12885,,PF06912.6|DUF1275,,5,Up,Down,Down
Ophio5|2902,XA68_12886,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005515|protein binding;GO:0006281|DNA repair;GO:0006260|DNA replication;GO:0005524|ATP binding;GO:0043140|ATP-dependent 3'-5' DNA helicase activity,PF00270.24|DEAD;PF00271.26|Helicase_C;PF09382.5|RQC;PF12796.2|Ank_2;PF00023.25|Ank,,NA,Up,Up,Down
Ophio5|2903,XA68_12887,,PF08580.5|KAR9,,NA,Down,Up,Up
Ophio5|2904,XA68_12888,,,,NA,Down,Down,Up
Ophio5|2905,XA68_12889,,PF00011.16|HSP20,,NA,Down,Down,Down
Ophio5|2906,XA68_12890,,,,NA,Down,Down,Up
Ophio5|2907,XA68_12891,,,,NA,Down,Down,Up
Ophio5|2908,XA68_12892,GO:0044267|cellular protein metabolic process;GO:0005524|ATP binding,PF00118.19|Cpn60_TCP1,,NA,Down,Up,Up
Ophio5|2909,XA68_12893,GO:0005524|ATP binding,PF00004.24|AAA,,NA,Up,Up,Up
Ophio5|291,XA68_10289,,,SignalP: has predicted secretion signal,2,Up,Up,Up
Ophio5|2910,XA68_12894,,,,NA,Up,Down,Down
Ophio5|2911,XA68_12895,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,,NA,Down,Down,Down
Ophio5|2912,XA68_12896,,,,NA,Up,Down,Down
Ophio5|2913,XA68_12897,GO:0005524|ATP binding;GO:0009058|biosynthetic process,PF08245.7|Mur_ligase_M,,NA,Up,Up,Up
Ophio5|2914,XA68_12898,,PF02698.12|DUF218,,NA,Up,Up,Up
Ophio5|2915,XA68_12899,,PF08426.5|ICE2,SignalP: has predicted secretion signal,10,Up,Up,Down
Ophio5|2916,XA68_12900,,PF01490.13|Aa_trans,,11,Up,Down,Down
Ophio5|2917,XA68_12901,"GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0016021|integral component of membrane;GO:0006629|lipid metabolic process;GO:0055114|oxidation-reduction process;GO:0006633|fatty acid biosynthetic process",PF00487.19|FA_desaturase;PF08557.5|Lipid_DES,,5,Down,Up,Up
Ophio5|2918,XA68_12902,GO:0008270|zinc ion binding,PF05495.7|zf-CHY,,NA,Up,Up,Down
Ophio5|2919,XA68_12903,,,,NA,Down,Down,Up
Ophio5|292,XA68_10290,GO:0005515|protein binding,PF00397.21|WW,,NA,Down,Down,Up
Ophio5|2920,XA68_12904,,PF12511.3|DUF3716,,NA,Up,Up,Down
Ophio5|2921,XA68_12905,,PF01841.14|Transglut_core,,NA,Down,Down,Down
Ophio5|2922,XA68_12906,GO:0016021|integral component of membrane;GO:0008963|phospho-N-acetylmuramoyl-pentapeptide-transferase activity,PF00953.16|Glycos_transf_4,,8,Down,Up,Up
Ophio5|2923,XA68_12907,GO:0005515|protein binding,PF00628.24|PHD,,NA,Up,Up,Down
Ophio5|2924,XA68_12908,,,,NA,Up,Up,Up
Ophio5|2925,XA68_12909,,PF02221.10|E1_DerP2_DerF2,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Down
Ophio5|2926,XA68_12910,GO:0034220|ion transmembrane transport,PF01990.12|ATP-synt_F,,NA,Up,Up,Up
Ophio5|2927,XA68_12911,,PF10332.4|DUF2418,,2,Up,Up,Down
Ophio5|2928,XA68_12912,,,,NA,Up,Up,Down
Ophio5|2929,XA68_12913,GO:0008152|metabolic process,PF00330.15|Aconitase;PF00694.14|Aconitase_C,,NA,Up,Up,Down
Ophio5|293,XA68_10291,,,,NA,Up,Up,Down
Ophio5|2930,XA68_12914,,PF10294.4|Methyltransf_16,,1,Down,Up,Up
Ophio5|2931,XA68_12915,,,,NA,Up,Up,Up
Ophio5|2932,XA68_12916,GO:0016021|integral component of membrane;GO:0008272|sulfate transport;GO:0015116|sulfate transmembrane transporter activity,PF00916.15|Sulfate_transp;PF00027.24|cNMP_binding;PF01740.16|STAS,,10,Up,Up,Down
Ophio5|2933,XA68_12917,,,,NA,Down,Down,Up
Ophio5|2934,XA68_12918,,PF05916.6|Sld5,,NA,Up,Up,Down
Ophio5|2935,XA68_12919,,,,NA,Down,Down,Up
Ophio5|2936,XA68_12920,GO:0005737|cytoplasm;GO:0005634|nucleus,PF04683.8|Proteasom_Rpn13,,NA,Up,Up,Up
Ophio5|2937,XA68_12921,GO:0003676|nucleic acid binding,PF00076.17|RRM_1;PF14259.1|RRM_6;PF14259.1|RRM_6,,NA,Up,Up,Down
Ophio5|2938,XA68_12922,,,,NA,Up,Down,Down
Ophio5|2939,XA68_12923,,PF11885.3|DUF3405,,1,Up,Up,Down
Ophio5|294,XA68_10292,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Down,Down,Down
Ophio5|2940,XA68_12924,GO:0006810|transport;GO:0016021|integral component of membrane,PF01105.19|EMP24_GP25L,SignalP: has predicted secretion signal,1,Up,Up,Up
Ophio5|2941,XA68_12925,GO:0007264|small GTPase mediated signal transduction;GO:0005634|nucleus;GO:0005737|cytoplasm;GO:0005525|GTP binding;GO:0005622|intracellular,PF00025.16|Arf;PF09439.5|SRPRB;PF00071.17|Ras;PF04670.7|Gtr1_RagA;PF08477.8|Miro;PF01926.18|MMR_HSR1,,NA,Up,Up,Down
Ophio5|2942,XA68_12926,"GO:0006355|regulation of transcription, DNA-templated;GO:0016887|ATPase activity;GO:0005524|ATP binding;GO:0008134|transcription factor binding",PF07724.9|AAA_2;PF10431.4|ClpB_D2-small;PF00004.24|AAA;PF00004.24|AAA;PF07728.9|AAA_5;PF00158.21|Sigma54_activat,,NA,Down,Down,Down
Ophio5|2943,XA68_12927,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular,PF01159.14|Ribosomal_L6e,,NA,Up,Up,Down
Ophio5|2944,XA68_12928,,PF12449.3|DUF3684,,NA,=,=,=
Ophio5|2945,XA68_12929,,PF10609.4|ParA;PF01656.18|CbiA;PF09140.6|MipZ,,NA,Down,Down,Up
Ophio5|2946,XA68_12930,,,,4,Up,Down,Down
Ophio5|2947,XA68_12931,,,,NA,Up,Up,Down
Ophio5|2948,XA68_12932,,,,NA,Up,Up,Up
Ophio5|2949,XA68_12933,,,,NA,Up,Up,Down
Ophio5|295,XA68_10293,,,,NA,Down,Down,Up
Ophio5|2950,XA68_12934,GO:0055114|oxidation-reduction process;GO:0016491|oxidoreductase activity;GO:0050660|flavin adenine dinucleotide binding;GO:0008762|UDP-N-acetylmuramate dehydrogenase activity,PF01565.18|FAD_binding_4,,NA,Up,Up,Down
Ophio5|2951,XA68_12935,,PF07691.7|PA14;PF10528.4|PA14_2,,NA,Up,Up,Down
Ophio5|2952,XA68_12936,GO:0006396|RNA processing;GO:0003723|RNA binding;GO:0004525|ribonuclease III activity,PF14622.1|Ribonucleas_3_3,,NA,Down,Down,Up
Ophio5|2953,XA68_12937,GO:0030001|metal ion transport;GO:0046873|metal ion transmembrane transporter activity;GO:0016020|membrane;GO:0055085|transmembrane transport,PF01544.13|CorA;PF05057.9|DUF676,,2,Down,Down,Up
Ophio5|2954,XA68_12938,"GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0006355|regulation of transcription, DNA-templated;GO:0003677|DNA binding;GO:0005634|nucleus;GO:0008270|zinc ion binding;GO:0006351|transcription, DNA-templated",PF04082.13|Fungal_trans;PF00172.13|Zn_clus,,NA,Down,Down,Up
Ophio5|2955,XA68_12939,"GO:0016021|integral component of membrane;GO:0016758|transferase activity, transferring hexosyl groups",PF05637.7|Glyco_transf_34,,1,Up,Up,Up
Ophio5|2956,XA68_12940,,,,NA,Up,Up,Up
Ophio5|2957,XA68_12941,GO:0008270|zinc ion binding,PF12906.2|RINGv,,3,Up,Up,Up
Ophio5|2958,XA68_12942,"GO:0019773|proteasome core complex, alpha-subunit complex;GO:0051603|proteolysis involved in cellular protein catabolic process;GO:0006511|ubiquitin-dependent protein catabolic process;GO:0005839|proteasome core complex;GO:0004175|endopeptidase activity;GO:0004298|threonine-type endopeptidase activity",PF00227.21|Proteasome;PF00227.21|Proteasome;PF10584.4|Proteasome_A_N,,NA,Down,Up,Up
Ophio5|2959,XA68_12943,,,,NA,Down,Down,Up
Ophio5|296,XA68_10294,"GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding",PF00067.17|p450,,2,Down,Down,Down
Ophio5|2960,XA68_12944,"GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0006396|RNA processing;GO:0003723|RNA binding;GO:0005524|ATP binding;GO:0016891|endoribonuclease activity, producing 5'-phosphomonoesters;GO:0016787|hydrolase activity;GO:0004525|ribonuclease III activity;GO:0003677|DNA binding",PF00636.21|Ribonuclease_3;PF00636.21|Ribonuclease_3;PF14622.1|Ribonucleas_3_3;PF14622.1|Ribonucleas_3_3;PF00270.24|DEAD;PF00271.26|Helicase_C;PF03368.9|Dicer_dimer;PF04851.10|ResIII,,NA,Down,Down,Up
Ophio5|2961,XA68_12945,GO:0005524|ATP binding;GO:0016740|transferase activity,PF07931.7|CPT,,NA,Up,Up,Up
Ophio5|2962,XA68_12946,GO:0004045|aminoacyl-tRNA hydrolase activity,PF01981.11|PTH2,,1,Up,Up,Up
Ophio5|2963,XA68_12947,GO:0005515|protein binding,PF08149.6|BING4CT;PF00400.27|WD40,,NA,Up,Up,Up
Ophio5|2964,XA68_12948,GO:0042254|ribosome biogenesis;GO:0005634|nucleus,PF04950.7|DUF663;PF08142.7|AARP2CN,,NA,Up,Up,Up
Ophio5|2965,XA68_12949,,PF02492.14|cobW,,NA,Down,Down,Down
Ophio5|2966,XA68_12950,,,,NA,Down,Down,Down
Ophio5|2967,XA68_12951,GO:0007264|small GTPase mediated signal transduction;GO:0005525|GTP binding;GO:0005622|intracellular,PF00071.17|Ras;PF08477.8|Miro;PF00025.16|Arf,,NA,Up,Up,Down
Ophio5|2968,XA68_12952,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,,NA,Up,Down,Down
Ophio5|2969,XA68_12953,GO:0005515|protein binding,PF12937.2|F-box-like;PF00560.28|LRR_1;PF00646.28|F-box;PF13516.1|LRR_6,,NA,Up,Down,Down
Ophio5|297,XA68_10295,,PF11204.3|DUF2985,,5,Up,Up,Down
Ophio5|2970,XA68_12954,,PF00300.17|His_Phos_1,,NA,Down,Down,Up
Ophio5|2971,XA68_12955,,,,NA,Down,Down,Down
Ophio5|2972,XA68_12956,,,,NA,Down,Down,Down
Ophio5|2973,XA68_12957,,PF08574.5|DUF1762,,NA,Up,Down,Down
Ophio5|2974,XA68_12958,,,,NA,Down,Up,Up
Ophio5|2975,XA68_12959,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005524|ATP binding,PF00270.24|DEAD;PF00271.26|Helicase_C,,NA,Up,Up,Down
Ophio5|2976,XA68_12960,,,,NA,Up,Up,Down
Ophio5|2977,XA68_12961,,PF04176.8|TIP41,,NA,Down,Up,Up
Ophio5|2978,XA68_12962,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr;PF14531.1|Kinase-like,,NA,Down,Up,Up
Ophio5|2979,XA68_12963,"GO:0005634|nucleus;GO:0006355|regulation of transcription, DNA-templated;GO:0003700|sequence-specific DNA binding transcription factor activity;GO:0046872|metal ion binding",PF02200.11|STE;PF00096.21|zf-C2H2;PF00096.21|zf-C2H2;PF13894.1|zf-C2H2_4;PF13894.1|zf-C2H2_4;PF13465.1|zf-H2C2_2,,NA,Down,Down,Down
Ophio5|298,XA68_10296,,,,NA,Up,Up,Up
Ophio5|2980,XA68_12964,,,,NA,Up,Up,Up
Ophio5|2981,XA68_12965,,PF07572.7|BCNT,,NA,Up,Down,Down
Ophio5|2982,XA68_12966,GO:0005515|protein binding,PF00400.27|WD40;PF00400.27|WD40,,NA,Down,Down,Down
Ophio5|2983,XA68_12967,,,,NA,Down,Down,Down
Ophio5|2984,XA68_12968,,PF06741.8|LsmAD,,NA,Down,Down,Down
Ophio5|2985,XA68_12969,,PF05193.16|Peptidase_M16_C;PF00675.15|Peptidase_M16,,NA,Up,Up,Up
Ophio5|2986,XA68_12970,"GO:0003899|DNA-directed RNA polymerase activity;GO:0003677|DNA binding;GO:0006351|transcription, DNA-templated",PF05645.8|RNA_pol_Rpc82;PF08221.6|HTH_9,,NA,Up,Up,Down
Ophio5|2987,XA68_12971,,PF00153.22|Mito_carr;PF00153.22|Mito_carr,,NA,Up,Up,Up
Ophio5|2988,XA68_12972,,,,NA,Up,Up,Up
Ophio5|2989,XA68_12973,,PF10685.4|KGG;PF10685.4|KGG,,NA,Down,Down,Down
Ophio5|299,XA68_10297,,PF09346.5|SMI1_KNR4,,NA,Up,Up,Down
Ophio5|2990,XA68_12974,GO:0005576|extracellular region;GO:0009405|pathogenesis;GO:0003824|catalytic activity,PF01375.12|Enterotoxin_a,SignalP: has predicted secretion signal,1,Up,Up,Down
Ophio5|2991,XA68_12975,,PF11807.3|DUF3328,,1,Up,Up,Down
Ophio5|2992,XA68_12976,,,,NA,Up,Up,Down
Ophio5|2993,XA68_12977,,,SignalP: has predicted secretion signal,NA,Down,Down,Up
Ophio5|2994,XA68_12978,,PF14033.1|DUF4246,,NA,Down,Down,Up
Ophio5|2995,XA68_12979,,PF00626.17|Gelsolin;PF00626.17|Gelsolin,,2,Up,Down,Down
Ophio5|2996,XA68_12980,GO:0017119|Golgi transport complex;GO:0006891|intra-Golgi vesicle-mediated transport,PF10392.4|COG5,,NA,Down,Down,Up
Ophio5|2997,XA68_12981,,PF10361.4|DUF2434,,7,Down,Down,Down
Ophio5|2998,XA68_12982,GO:0016021|integral component of membrane,PF04117.7|Mpv17_PMP22,,3,Down,Down,Down
Ophio5|2999,XA68_12983,GO:0003677|DNA binding;GO:0003918|DNA topoisomerase type II (ATP-hydrolyzing) activity;GO:0005524|ATP binding;GO:0006265|DNA topological change,PF00521.15|DNA_topoisoIV;PF00204.20|DNA_gyraseB;PF01751.17|Toprim;PF02518.21|HATPase_c,,NA,Up,Up,Down
Ophio5|3,XA68_10022,,PF01476.15|LysM;PF01476.15|LysM,,NA,Down,Down,Down
Ophio5|30,XA68_10023,,,,NA,Up,Up,Down
Ophio5|300,XA68_10298,GO:0006779|porphyrin-containing compound biosynthetic process;GO:0004853|uroporphyrinogen decarboxylase activity,PF01208.12|URO-D,,NA,Down,Down,Down
Ophio5|3000,XA68_12984,GO:0009966|regulation of signal transduction,PF04177.7|TAP42,,NA,Down,Down,Up
Ophio5|3001,XA68_12985,,,,8,Down,Up,Up
Ophio5|3002,XA68_12986,GO:0032313|regulation of Rab GTPase activity;GO:0005097|Rab GTPase activator activity,PF00566.13|RabGAP-TBC,,NA,Up,Up,Up
Ophio5|3003,XA68_12987,,PF02453.12|Reticulon,,4,Down,Down,Up
Ophio5|3004,XA68_12988,GO:0042254|ribosome biogenesis;GO:0005634|nucleus,PF04950.7|DUF663;PF08142.7|AARP2CN,,NA,Up,Up,Up
Ophio5|3005,XA68_12989,,,,NA,Up,Up,Down
Ophio5|3006,XA68_12990,GO:0008608|attachment of spindle microtubules to kinetochore;GO:0042729|DASH complex;GO:0072686|mitotic spindle,PF08655.5|DASH_Ask1,,NA,Up,Up,Down
Ophio5|3007,XA68_12991,GO:0000226|microtubule cytoskeleton organization;GO:0000922|spindle pole;GO:0005815|microtubule organizing center,PF04130.8|Spc97_Spc98,,NA,Up,Up,Down
Ophio5|3008,XA68_12992,GO:0015031|protein transport;GO:0008565|protein transporter activity;GO:0016021|integral component of membrane,PF03839.11|Sec62,,2,Down,Down,Down
Ophio5|3009,XA68_12993,,PF11221.3|Med21,,NA,Up,Up,Up
Ophio5|301,XA68_10299,GO:0033588|Elongator holoenzyme complex;GO:0006357|regulation of transcription from RNA polymerase II promoter,PF05625.6|PAXNEB,,NA,Down,Down,Down
Ophio5|3010,XA68_12994,,PF13419.1|HAD_2;PF00702.21|Hydrolase;PF13242.1|Hydrolase_like,,NA,Down,Down,Up
Ophio5|3011,XA68_12995,,,,NA,Down,Down,Down
Ophio5|3012,XA68_12996,GO:0003723|RNA binding,PF00013.24|KH_1;PF13014.1|KH_3;PF13014.1|KH_3,,NA,Down,Down,Down
Ophio5|3013,XA68_12997,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005524|ATP binding;GO:0016787|hydrolase activity;GO:0003677|DNA binding,PF04851.10|ResIII;PF00271.26|Helicase_C;PF00270.24|DEAD,,NA,Down,Down,Down
Ophio5|3014,XA68_12998,,,,NA,Down,Down,Down
Ophio5|3015,XA68_12999,"GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus;GO:0043189|H4/H2A histone acetyltransferase complex",PF07904.8|Eaf7,,NA,Down,Down,Up
Ophio5|3016,XA68_13000,"GO:0008080|N-acetyltransferase activity;GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups",PF13673.1|Acetyltransf_10;PF00583.19|Acetyltransf_1;PF08445.5|FR47,,NA,Up,Up,Down
Ophio5|3017,XA68_13001,GO:0045454|cell redox homeostasis,PF00085.15|Thioredoxin;PF00085.15|Thioredoxin;PF13848.1|Thioredoxin_6,SignalP: has predicted secretion signal,1,Down,Up,Up
Ophio5|3018,XA68_13002,GO:0006281|DNA repair;GO:0005634|nucleus;GO:0008081|phosphoric diester hydrolase activity,PF06087.7|Tyr-DNA_phospho,,NA,Down,Down,Up
Ophio5|3019,XA68_13003,GO:0006855|drug transmembrane transport;GO:0015297|antiporter activity;GO:0015238|drug transmembrane transporter activity;GO:0016020|membrane;GO:0055085|transmembrane transport,PF01554.13|MatE;PF01554.13|MatE,,10,Down,Down,Up
Ophio5|302,XA68_10300,,,,1,Up,Down,Down
Ophio5|3020,XA68_13004,,,,NA,Up,Up,Up
Ophio5|3021,XA68_13005,,PF04366.7|DUF500,,NA,Down,Down,Up
Ophio5|3022,XA68_13006,,,,NA,Down,Up,Up
Ophio5|3023,XA68_13007,,PF13465.1|zf-H2C2_2;PF13894.1|zf-C2H2_4;PF13894.1|zf-C2H2_4,,NA,Down,Down,Down
Ophio5|3024,XA68_13008,,,,NA,Down,Up,Up
Ophio5|3025,XA68_13009,,,,NA,Down,Down,Down
Ophio5|3026,XA68_13010,,,,NA,Up,Up,Down
Ophio5|3027,XA68_13011,GO:0005515|protein binding,PF00646.28|F-box,,NA,Up,Up,Down
Ophio5|3028,XA68_13012,,PF11338.3|DUF3140,,NA,Up,Down,Down
Ophio5|3029,XA68_13013,"GO:0008152|metabolic process;GO:0008168|methyltransferase activity;GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups",PF00109.21|ketoacyl-synt;PF02801.17|Ketoacyl-synt_C;PF00698.16|Acyl_transf_1;PF08242.7|Methyltransf_12;PF14765.1|PS-DH;PF13489.1|Methyltransf_23;PF13847.1|Methyltransf_31;PF00550.20|PP-binding;PF08241.7|Methyltransf_11;PF00108.18|Thiolase_N;PF10294.4|Methyltransf_16,,NA,Up,Up,Down
Ophio5|303,XA68_10301,,,,NA,=,=,=
Ophio5|3030,XA68_13014,GO:0004659|prenyltransferase activity;GO:0016021|integral component of membrane,PF01040.13|UbiA,,4,Up,Up,Down
Ophio5|3031,XA68_13015,GO:0016491|oxidoreductase activity;GO:0003824|catalytic activity;GO:0008152|metabolic process;GO:0050662|coenzyme binding;GO:0044237|cellular metabolic process,PF00106.20|adh_short;PF13561.1|adh_short_C2;PF08659.5|KR;PF01370.16|Epimerase,,NA,Up,Up,Down
Ophio5|3032,XA68_13016,,,,6,Up,Up,Down
Ophio5|3033,XA68_13017,,,,NA,Up,Up,Down
Ophio5|3034,XA68_13018,,,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|3035,XA68_13019,,PF01494.14|FAD_binding_3,,NA,Up,Up,Down
Ophio5|3036,XA68_13020,,,,NA,Up,Up,Down
Ophio5|3037,XA68_13021,GO:0016887|ATPase activity;GO:0005524|ATP binding,PF00005.22|ABC_tran,,NA,Up,Up,Down
Ophio5|3038,XA68_13022,GO:0006031|chitin biosynthetic process;GO:0004100|chitin synthase activity,PF01644.12|Chitin_synth_1;PF08407.6|Chitin_synth_1N;PF03142.10|Chitin_synth_2,,NA,Down,Up,Up
Ophio5|3039,XA68_13023,,PF00206.15|Lyase_1;PF14698.1|ASL_C2,,NA,Down,Up,Up
Ophio5|304,XA68_10302,GO:0005515|protein binding,PF03031.13|NIF,,NA,Up,Up,Down
Ophio5|3040,XA68_13024,,PF00251.15|Glyco_hydro_32N;PF08244.7|Glyco_hydro_32C,SignalP: has predicted secretion signal,1,Down,Up,Up
Ophio5|3041,XA68_13025,GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,PF07690.11|MFS_1,,12,Up,Down,Down
Ophio5|3042,XA68_13026,GO:0019239|deaminase activity,PF00962.17|A_deaminase,,NA,Down,Down,Up
Ophio5|3043,XA68_13027,GO:0005515|protein binding,PF00628.24|PHD,,NA,Up,Up,Down
Ophio5|3044,XA68_13028,,,,NA,Down,Down,Down
Ophio5|3045,XA68_13029,GO:0016787|hydrolase activity,PF01150.12|GDA1_CD39,,1,Down,Down,Down
Ophio5|3046,XA68_13030,,,,NA,Down,Down,Up
Ophio5|3047,NA,,,,NA,Down,Up,Up
Ophio5|3048,XA68_13031,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Down,Up,Up
Ophio5|3049,XA68_13032,GO:0006298|mismatch repair;GO:0005524|ATP binding;GO:0030983|mismatched DNA binding,PF00488.16|MutS_V;PF05192.13|MutS_III,,NA,Down,Down,Down
Ophio5|305,XA68_10303,GO:0044237|cellular metabolic process,PF01008.12|IF-2B,,NA,Up,Up,Up
Ophio5|3050,XA68_13033,,PF12271.3|Chs3p,,7,Down,Down,Down
Ophio5|3051,XA68_13034,GO:0008270|zinc ion binding;GO:0006281|DNA repair,PF04056.9|Ssl1;PF07975.7|C1_4;PF13519.1|VWA_2,,NA,Up,Up,Up
Ophio5|3052,XA68_13035,,PF00903.20|Glyoxalase;PF00903.20|Glyoxalase;PF13669.1|Glyoxalase_4,,NA,Up,Down,Down
Ophio5|3053,XA68_13036,,,,NA,Up,Down,Down
Ophio5|3054,XA68_13037,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular,PF01777.13|Ribosomal_L27e,,NA,Up,Up,Up
Ophio5|3055,XA68_13038,,PF03151.11|TPT,,11,Up,Up,Down
Ophio5|3056,XA68_13039,GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process,PF13450.1|NAD_binding_8;PF01593.19|Amino_oxidase,,NA,Up,Up,Up
Ophio5|3057,XA68_13040,GO:0005515|protein binding;GO:0004672|protein kinase activity;GO:0000155|phosphorelay sensor kinase activity;GO:0000160|phosphorelay signal transduction system;GO:0016020|membrane;GO:0005524|ATP binding;GO:0000156|phosphorelay response regulator activity;GO:0007165|signal transduction;GO:0006468|protein phosphorylation,PF02518.21|HATPase_c;PF00072.19|Response_reg;PF00512.20|HisKA;PF13191.1|AAA_16;PF13185.1|GAF_2;PF13492.1|GAF_3;PF00069.20|Pkinase,,NA,Down,Down,Down
Ophio5|3058,XA68_13041,,PF10241.4|KxDL,,NA,Down,Down,Down
Ophio5|3059,XA68_13042,,,,NA,Up,Up,Down
Ophio5|306,XA68_10304,"GO:0008080|N-acetyltransferase activity;GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups",PF00583.19|Acetyltransf_1;PF08445.5|FR47,,NA,Down,Up,Up
Ophio5|3060,XA68_13043,,,,NA,Down,Down,Up
Ophio5|3061,XA68_13044,"GO:0016772|transferase activity, transferring phosphorus-containing groups;GO:0016020|membrane",PF01148.15|CTP_transf_1,,4,Up,Up,Down
Ophio5|3062,XA68_13045,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005524|ATP binding,PF00270.24|DEAD;PF00271.26|Helicase_C;PF13959.1|DUF4217,,NA,Up,Up,Down
Ophio5|3063,XA68_13046,GO:0006886|intracellular protein transport;GO:0008536|Ran GTPase binding,PF08767.6|CRM1_C;PF08389.7|Xpo1;PF03810.14|IBN_N,,NA,Up,Up,Down
Ophio5|3064,XA68_13047,GO:0008152|metabolic process,PF00266.14|Aminotran_5,,NA,Down,Down,Down
Ophio5|3065,XA68_13048,GO:0006479|protein methylation;GO:0008168|methyltransferase activity,PF05185.11|PRMT5,,NA,Down,Down,Up
Ophio5|3066,XA68_13049,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005524|ATP binding,PF04408.18|HA2;PF00271.26|Helicase_C;PF07717.11|OB_NTP_bind;PF00270.24|DEAD,,NA,Up,Up,Up
Ophio5|3067,XA68_13050,,,,NA,Down,Down,=
Ophio5|3068,XA68_13051,,,,NA,Up,Down,Down
Ophio5|3069,XA68_13052,"GO:0016887|ATPase activity;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;GO:0006810|transport",PF00005.22|ABC_tran;PF00664.18|ABC_membrane,,5,Down,Down,Down
Ophio5|307,XA68_10305,GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0000166|nucleotide binding;GO:0006418|tRNA aminoacylation for protein translation,PF09334.6|tRNA-synt_1g;PF00133.17|tRNA-synt_1,,NA,Up,Up,Down
Ophio5|3070,XA68_13053,"GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding",PF00067.17|p450,,1,Down,Down,Down
Ophio5|3071,XA68_13054,GO:0003682|chromatin binding,PF13921.1|Myb_DNA-bind_6;PF00249.26|Myb_DNA-binding,,NA,Up,Up,Up
Ophio5|3072,XA68_13055,GO:0005524|ATP binding,PF01637.13|Arch_ATPase,,1,Down,Down,Down
Ophio5|3073,XA68_13056,,,,NA,Up,Down,Down
Ophio5|3074,XA68_13057,,,,NA,Down,Down,Down
Ophio5|3075,XA68_13058,,,,NA,Down,Down,Down
Ophio5|3076,XA68_13059,"GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0008270|zinc ion binding;GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus",PF11951.3|Fungal_trans_2;PF00172.13|Zn_clus,,NA,Down,Down,Up
Ophio5|3077,XA68_13060,,,,NA,Down,Down,Down
Ophio5|3078,XA68_13061,,PF07876.7|Dabb,,NA,Down,Down,Up
Ophio5|3079,XA68_13062,,,SignalP: has predicted secretion signal,1,Down,Down,Up
Ophio5|308,XA68_10306,,PF09811.4|Yae1_N,,NA,Down,Up,Up
Ophio5|3080,XA68_13063,,PF00153.22|Mito_carr;PF00153.22|Mito_carr;PF00153.22|Mito_carr,,NA,Up,Up,Down
Ophio5|3081,XA68_13064,GO:0006810|transport;GO:0005643|nuclear pore,PF12110.3|Nup96;PF04096.9|Nucleoporin2;PF13634.1|Nucleoporin_FG;PF13634.1|Nucleoporin_FG;PF13634.1|Nucleoporin_FG,,NA,Up,Up,Down
