arb2_gene,gene_name,blast_annot,GOs,pfams,signalP,SSP,TMHMM,sc16a_homolog
Ophcf2|02262,GQ602_002262,Peptidyl-prolyl cis-trans isomerase H,"GO:0003755|peptidyl-prolyl cis-trans isomerase activity; GO:0006464|cellular protein modification process; GO:0003674|molecular_function; GO:0000413|protein peptidyl-prolyl isomerization; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0016859|cis-trans isomerase activity; GO:0044267|cellular protein metabolic process; GO:0043412|macromolecule modification; GO:0140096|catalytic activity, acting on a protein; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0018193|peptidyl-amino acid modification; GO:0044260|cellular macromolecule metabolic process; GO:0003824|catalytic activity; GO:0018208|peptidyl-proline modification; GO:0016853|isomerase activity; GO:0019538|protein metabolic process; GO:0044238|primary metabolic process; GO:0036211|protein modification process; GO:0008150|biological_process; GO:1901564|organonitrogen compound metabolic process; GO:0008152|metabolic process;",PF00160|Pro_isomerase;,NA,NA,NA,Ophio5|1127
Ophcf2|02263,GQ602_002263,RING-8 protein,GO:0005488|binding; GO:0046872|metal ion binding; GO:0003674|molecular_function; GO:0043167|ion binding; GO:0043169|cation binding;,PF17123|zf-RING_11; PF13923|zf-C3HC4_2; PF00097|zf-C3HC4; PF13639|zf-RING_2;,NA,NA,1;,Ophio5|5874
Ophcf2|02264,GQ602_002264,hypothetical protein CDD80_3092,NA,PF12572|DUF3752;,NA,NA,NA,Ophio5|5875
Ophcf2|02265,GQ602_002265,golgi complex component,NA,PF12816|Vps8;,NA,NA,NA,Ophio5|5876
Ophcf2|02266,GQ602_002266,lysyl-tRNA synthetase,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0016874|ligase activity; GO:0097159|organic cyclic compound binding; GO:0043436|oxoacid metabolic process; GO:0003674|molecular_function; GO:0019752|carboxylic acid metabolic process; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0008144|drug binding; GO:0005488|binding; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0004812|aminoacyl-tRNA ligase activity; GO:0043039|tRNA aminoacylation; GO:0006082|organic acid metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0034660|ncRNA metabolic process; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0043168|anion binding; GO:0140098|catalytic activity, acting on RNA; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003676|nucleic acid binding; GO:0003824|catalytic activity; GO:0006139|nucleobase-containing compound metabolic process; GO:0006399|tRNA metabolic process; GO:0017076|purine nucleotide binding; GO:0005524|ATP binding; GO:0006418|tRNA aminoacylation for protein translation; GO:0044281|small molecule metabolic process; GO:0032559|adenyl ribonucleotide binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0140101|catalytic activity, acting on a tRNA; GO:0044238|primary metabolic process; GO:0006520|cellular amino acid metabolic process; GO:1901265|nucleoside phosphate binding; GO:0016875|ligase activity, forming carbon-oxygen bonds; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0043038|amino acid activation; GO:1901564|organonitrogen compound metabolic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0030554|adenyl nucleotide binding;",PF00152|tRNA-synt_2; PF01336|tRNA_anti-codon;,NA,NA,NA,Ophio5|5877
Ophcf2|02267,GQ602_002267,related to TOS1 Target of SBF,NA,PF10287|DUF2401; PF10290|DUF2403;,Has signal peptide;,NA,NA,Ophio5|5878
Ophcf2|02268,GQ602_002268,actin,NA,PF00022|Actin;,NA,NA,NA,Ophio5|5111
Ophcf2|02269,GQ602_002269,G/U mismatch-specific uracil DNA glycosylase,NA,PF03167|UDG;,NA,NA,NA,Ophio5|5110
Ophcf2|02270,GQ602_002270,thioredoxin reductase,GO:0003824|catalytic activity; GO:0055114|oxidation-reduction process; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0008152|metabolic process;,PF13738|Pyr_redox_3; PF07992|Pyr_redox_2; PF00070|Pyr_redox;,NA,NA,NA,Ophio5|5109
Ophcf2|02271,GQ602_002271,GARP complex subunit Vps53,NA,PF04100|Vps53_N;,NA,NA,NA,Ophio5|5108
Ophcf2|02272,GQ602_002272,Fibronectin type III domain protein,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF00041|fn3;,NA,NA,NA,Ophio5|5107
Ophcf2|02273,GQ602_002273,SMP2 protein,NA,PF08235|LNS2; PF04571|Lipin_N;,NA,NA,NA,Ophio5|5106
Ophcf2|02274,GQ602_002274,Histidine biosynthesis trifunctional protein,"GO:0018130|heterocycle biosynthetic process; GO:0016614|oxidoreductase activity, acting on CH-OH group of donors; GO:0097159|organic cyclic compound binding; GO:0043436|oxoacid metabolic process; GO:0003674|molecular_function; GO:0019752|carboxylic acid metabolic process; GO:0019238|cyclohydrolase activity; GO:0008652|cellular amino acid biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0052803|imidazole-containing compound metabolic process; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0016787|hydrolase activity; GO:1901607|alpha-amino acid biosynthetic process; GO:0048037|cofactor binding; GO:0004399|histidinol dehydrogenase activity; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006082|organic acid metabolic process; GO:0055114|oxidation-reduction process; GO:0050662|coenzyme binding; GO:0044283|small molecule biosynthetic process; GO:0043167|ion binding; GO:0019438|aromatic compound biosynthetic process; GO:0016814|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:1901363|heterocyclic compound binding; GO:0003824|catalytic activity; GO:0006547|histidine metabolic process; GO:0046394|carboxylic acid biosynthetic process; GO:0016491|oxidoreductase activity; GO:1901566|organonitrogen compound biosynthetic process; GO:0016053|organic acid biosynthetic process; GO:0016810|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; GO:0044281|small molecule metabolic process; GO:0043169|cation binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0000105|histidine biosynthetic process; GO:0044238|primary metabolic process; GO:0051287|NAD binding; GO:0009073|aromatic amino acid family biosynthetic process; GO:0009058|biosynthetic process; GO:0006520|cellular amino acid metabolic process; GO:1901265|nucleoside phosphate binding; GO:1901362|organic cyclic compound biosynthetic process; GO:0046872|metal ion binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0009072|aromatic amino acid family metabolic process; GO:0046914|transition metal ion binding; GO:1901605|alpha-amino acid metabolic process; GO:1901576|organic substance biosynthetic process; GO:1901564|organonitrogen compound metabolic process; GO:0004635|phosphoribosyl-AMP cyclohydrolase activity; GO:0008152|metabolic process; GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;",PF01502|PRA-CH; PF01503|PRA-PH; PF00815|Histidinol_dh;,NA,NA,NA,Ophio5|5105
Ophcf2|02275,GQ602_002275,transcription initiation factor TFIID subunit 9B,"GO:0018130|heterocycle biosynthetic process; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006352|DNA-templated transcription, initiation; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:1901576|organic substance biosynthetic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0032774|RNA biosynthetic process;",PF02291|TFIID-31kDa;,NA,NA,NA,Ophio5|5104
Ophcf2|02276,GQ602_002276,mitochondrial processing peptidase beta subunit,NA,PF00675|Peptidase_M16; PF05193|Peptidase_M16_C;,NA,NA,NA,Ophio5|5103
Ophcf2|02277,GQ602_002277,inosine-5'-monophosphate dehydrogenase IMD2,GO:0003824|catalytic activity; GO:0055114|oxidation-reduction process; GO:0003674|molecular_function; GO:0016491|oxidoreductase activity; GO:0008150|biological_process; GO:0008152|metabolic process;,PF00571|CBS; PF01070|FMN_dh; PF00478|IMPDH;,NA,NA,NA,Ophio5|5102
Ophcf2|02278,GQ602_002278,Protein PLANT CADMIUM RESISTANCE 3,NA,PF04749|PLAC8;,NA,NA,NA,Ophio5|5101
Ophcf2|02279,GQ602_002279,acyl-CoA N-acyltransferase,NA,NA,NA,NA,NA,Ophio5|5100
Ophcf2|02280,GQ602_002280,LYR motif-containing protein 2,NA,PF05347|Complex1_LYR; PF13233|Complex1_LYR_2;,NA,NA,NA,Ophio5|5099
Ophcf2|02281,GQ602_002281,related to ribosomal protein L36,GO:0005575|cellular_component; GO:0003735|structural constituent of ribosome; GO:0005622|intracellular; GO:0003674|molecular_function; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:1990904|ribonucleoprotein complex; GO:0044424|intracellular part; GO:0044267|cellular protein metabolic process; GO:0032991|protein-containing complex; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0043228|non-membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0006518|peptide metabolic process; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0043043|peptide biosynthetic process; GO:0009059|macromolecule biosynthetic process; GO:0043603|cellular amide metabolic process; GO:0044464|cell part; GO:0043604|amide biosynthetic process; GO:0005198|structural molecule activity; GO:0034645|cellular macromolecule biosynthetic process; GO:1901566|organonitrogen compound biosynthetic process; GO:0019538|protein metabolic process; GO:0005840|ribosome; GO:0043226|organelle; GO:0006412|translation; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:0044444|cytoplasmic part; GO:1901576|organic substance biosynthetic process; GO:1901564|organonitrogen compound metabolic process; GO:0008152|metabolic process; GO:0043232|intracellular non-membrane-bounded organelle;,PF00444|Ribosomal_L36;,NA,NA,NA,NA
Ophcf2|02282,GQ602_002282,ribosomal protein L36,NA,NA,NA,NA,NA,Ophio5|5097
Ophcf2|02283,GQ602_002283,Pleckstrin domain-like protein,NA,PF15406|PH_6;,NA,NA,NA,Ophio5|7009
Ophcf2|02284,GQ602_002284,histidine kinase,"GO:0003824|catalytic activity; GO:0140299|small molecule sensor activity; GO:0140096|catalytic activity, acting on a protein; GO:0004673|protein histidine kinase activity; GO:0065007|biological regulation; GO:0050794|regulation of cellular process; GO:0035556|intracellular signal transduction; GO:0008150|biological_process; GO:0016740|transferase activity; GO:0007165|signal transduction; GO:0016772|transferase activity, transferring phosphorus-containing groups; GO:0003674|molecular_function; GO:0000160|phosphorelay signal transduction system; GO:0009987|cellular process; GO:0050789|regulation of biological process; GO:0004672|protein kinase activity; GO:0016301|kinase activity; GO:0016775|phosphotransferase activity, nitrogenous group as acceptor; GO:0016773|phosphotransferase activity, alcohol group as acceptor; GO:0000155|phosphorelay sensor kinase activity;",PF00072|Response_reg; PF13426|PAS_9; PF02518|HATPase_c; PF08448|PAS_4; PF00512|HisKA;,NA,NA,NA,Ophio5|7010
Ophcf2|02285,GQ602_002285,hypothetical protein CDD80_3766,NA,NA,NA,NA,4;,Ophio5|2782
Ophcf2|02286,GQ602_002286,"phosphatidylinositol glycan, class P",NA,PF08510|PIG-P;,NA,NA,2;,Ophio5|2783
Ophcf2|02287,GQ602_002287,ATP-dependent RNA helicase ROK1,GO:0035639|purine ribonucleoside triphosphate binding; GO:0005488|binding; GO:0097159|organic cyclic compound binding; GO:1901265|nucleoside phosphate binding; GO:0017076|purine nucleotide binding; GO:0003674|molecular_function; GO:0032555|purine ribonucleotide binding; GO:0036094|small molecule binding; GO:0005524|ATP binding; GO:0043168|anion binding; GO:0043167|ion binding; GO:0032553|ribonucleotide binding; GO:0032559|adenyl ribonucleotide binding; GO:0000166|nucleotide binding; GO:0030554|adenyl nucleotide binding; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0008144|drug binding;,PF00270|DEAD; PF00271|Helicase_C;,NA,NA,NA,Ophio5|4944
Ophcf2|02288,GQ602_002288,UDP-N-acetylglucosamine pyrophosphorylase,"GO:0003824|catalytic activity; GO:0070569|uridylyltransferase activity; GO:0016740|transferase activity; GO:0003674|molecular_function; GO:0016772|transferase activity, transferring phosphorus-containing groups; GO:0016779|nucleotidyltransferase activity;",PF01704|UDPGP;,NA,NA,NA,Ophio5|2785
Ophcf2|02289,GQ602_002289,succinate-semialdehyde dehydrogenase NADP+,GO:0003824|catalytic activity; GO:0055114|oxidation-reduction process; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0008152|metabolic process;,PF00171|Aldedh;,NA,NA,NA,Ophio5|2786
Ophcf2|02290,GQ602_002290,ribosome recycling factor,NA,PF01765|RRF;,NA,NA,NA,Ophio5|2787
Ophcf2|02291,GQ602_002291,hypothetical protein CDD80_114,NA,NA,NA,NA,NA,Ophio5|2788
Ophcf2|02292,GQ602_002292,Serine/threonine-protein phosphatase PP-Z,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF00149|Metallophos; PF16891|STPPase_N;,NA,NA,NA,Ophio5|2789
Ophcf2|02293,GQ602_002293,integral membrane protein,GO:0005575|cellular_component; GO:0016020|membrane; GO:0044464|cell part; GO:0005886|plasma membrane;,PF06687|SUR7;,NA,NA,4;,Ophio5|2790
Ophcf2|02294,GQ602_002294,WD repeat protein,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF00400|WD40;,NA,NA,NA,Ophio5|2791
Ophcf2|02295,GQ602_002295,ATP synthase subunit g,"GO:0022890|inorganic cation transmembrane transporter activity; GO:0018130|heterocycle biosynthetic process; GO:0009150|purine ribonucleotide metabolic process; GO:0000276|mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); GO:0044424|intracellular part; GO:0034220|ion transmembrane transport; GO:0032991|protein-containing complex; GO:0015077|monovalent inorganic cation transmembrane transporter activity; GO:0015672|monovalent inorganic cation transport; GO:0006807|nitrogen compound metabolic process; GO:0006754|ATP biosynthetic process; GO:0009145|purine nucleoside triphosphate biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0006812|cation transport; GO:1901566|organonitrogen compound biosynthetic process; GO:0044429|mitochondrial part; GO:0009206|purine ribonucleoside triphosphate biosynthetic process; GO:0006753|nucleoside phosphate metabolic process; GO:0098796|membrane protein complex; GO:0009142|nucleoside triphosphate biosynthetic process; GO:1901576|organic substance biosynthetic process; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0003674|molecular_function; GO:0072522|purine-containing compound biosynthetic process; GO:0034654|nucleobase-containing compound biosynthetic process; GO:1902600|proton transmembrane transport; GO:0022857|transmembrane transporter activity; GO:0006163|purine nucleotide metabolic process; GO:0098798|mitochondrial protein complex; GO:0009199|ribonucleoside triphosphate metabolic process; GO:0051234|establishment of localization; GO:0006796|phosphate-containing compound metabolic process; GO:0006810|transport; GO:0044281|small molecule metabolic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0009144|purine nucleoside triphosphate metabolic process; GO:0009205|purine ribonucleoside triphosphate metabolic process; GO:0009058|biosynthetic process; GO:0015075|ion transmembrane transporter activity; GO:0006793|phosphorus metabolic process; GO:0009201|ribonucleoside triphosphate biosynthetic process; GO:0090407|organophosphate biosynthetic process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:1901137|carbohydrate derivative biosynthetic process; GO:1901564|organonitrogen compound metabolic process; GO:0009141|nucleoside triphosphate metabolic process; GO:0044455|mitochondrial membrane part; GO:0046390|ribose phosphate biosynthetic process; GO:0046034|ATP metabolic process; GO:0019693|ribose phosphate metabolic process; GO:0008324|cation transmembrane transporter activity; GO:0009987|cellular process; GO:0044237|cellular metabolic process; GO:0055086|nucleobase-containing small molecule metabolic process; GO:0006725|cellular aromatic compound metabolic process; GO:0098662|inorganic cation transmembrane transport; GO:0044446|intracellular organelle part; GO:1901135|carbohydrate derivative metabolic process; GO:0015985|energy coupled proton transport, down electrochemical gradient; GO:1901362|organic cyclic compound biosynthetic process; GO:0006164|purine nucleotide biosynthetic process; GO:0055085|transmembrane transport; GO:0008152|metabolic process; GO:0072521|purine-containing compound metabolic process; GO:0006811|ion transport; GO:0071704|organic substance metabolic process; GO:0009260|ribonucleotide biosynthetic process; GO:0009117|nucleotide metabolic process; GO:0098660|inorganic ion transmembrane transport; GO:0015078|proton transmembrane transporter activity; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0098655|cation transmembrane transport; GO:0019438|aromatic compound biosynthetic process; GO:0015318|inorganic molecular entity transmembrane transporter activity; GO:0044464|cell part; GO:0009152|purine ribonucleotide biosynthetic process; GO:0009165|nucleotide biosynthetic process; GO:0033177|proton-transporting two-sector ATPase complex, proton-transporting domain; GO:0044422|organelle part; GO:0009259|ribonucleotide metabolic process; GO:1901293|nucleoside phosphate biosynthetic process; GO:0051179|localization; GO:0098800|inner mitochondrial membrane protein complex; GO:0044238|primary metabolic process; GO:0015986|ATP synthesis coupled proton transport; GO:0019637|organophosphate metabolic process; GO:0008150|biological_process; GO:0044444|cytoplasmic part; GO:0045263|proton-transporting ATP synthase complex, coupling factor F(o); GO:0005215|transporter activity; GO:0017144|drug metabolic process;",PF04718|ATP-synt_G;,Has signal peptide;,Small secreted protein;,NA,Ophio5|2792
Ophcf2|02296,GQ602_002296,methyl transferase,NA,PF13489|Methyltransf_23;,NA,NA,NA,Ophio5|6644
Ophcf2|02297,GQ602_002297,"Transcription factor IIA, alpha/beta subunit","GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0044451|nucleoplasm part; GO:0044798|nuclear transcription factor complex; GO:0006367|transcription initiation from RNA polymerase II promoter; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0005667|transcription factor complex; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0032991|protein-containing complex; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0005672|transcription factor TFIIA complex; GO:0006352|DNA-templated transcription, initiation; GO:0090575|RNA polymerase II transcription factor complex; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0044464|cell part; GO:0044446|intracellular organelle part; GO:0006139|nucleobase-containing compound metabolic process; GO:0044422|organelle part; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:1901576|organic substance biosynthetic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0032774|RNA biosynthetic process; GO:0044428|nuclear part;",PF03153|TFIIA;,NA,NA,NA,Ophio5|7876
Ophcf2|02298,GQ602_002298,"cell division cycle 20, cofactor-APC complex",GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF12894|ANAPC4_WD40; PF00400|WD40;,NA,NA,NA,Ophio5|7877
Ophcf2|02299,GQ602_002299,kelch repeat protein,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF01344|Kelch_1; PF13415|Kelch_3; PF13854|Kelch_5; PF00651|BTB; PF13418|Kelch_4;,NA,NA,NA,Ophio5|7878
Ophcf2|02300,GQ602_002300,C2H2 transcription factor (Sfp1),NA,NA,NA,NA,NA,Ophio5|7879
Ophcf2|02301,GQ602_002301,mitochondrial hypoxia responsive domain containing protein,NA,PF04588|HIG_1_N;,NA,NA,3;,Ophio5|7881
Ophcf2|02302,GQ602_002302,tRNA-dihydrouridine synthase 3,"GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0071704|organic substance metabolic process; GO:0016627|oxidoreductase activity, acting on the CH-CH group of donors; GO:0009987|cellular process; GO:0005488|binding; GO:0034470|ncRNA processing; GO:0043170|macromolecule metabolic process; GO:0048037|cofactor binding; GO:0044237|cellular metabolic process; GO:0008033|tRNA processing; GO:0006807|nitrogen compound metabolic process; GO:0034660|ncRNA metabolic process; GO:0055114|oxidation-reduction process; GO:0050662|coenzyme binding; GO:0006396|RNA processing; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0043168|anion binding; GO:0140098|catalytic activity, acting on RNA; GO:1901363|heterocyclic compound binding; GO:0003824|catalytic activity; GO:0006139|nucleobase-containing compound metabolic process; GO:0006399|tRNA metabolic process; GO:0016491|oxidoreductase activity; GO:0034641|cellular nitrogen compound metabolic process; GO:0140101|catalytic activity, acting on a tRNA; GO:0044238|primary metabolic process; GO:0017150|tRNA dihydrouridine synthase activity; GO:1901265|nucleoside phosphate binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process;",PF01207|Dus;,NA,NA,NA,Ophio5|7883
Ophcf2|02303,GQ602_002303,Pex13 protein,"GO:0005575|cellular_component; GO:0008104|protein localization; GO:0005777|peroxisome; GO:0043229|intracellular organelle; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0043231|intracellular membrane-bounded organelle; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0016560|protein import into peroxisome matrix, docking; GO:0043226|organelle; GO:0044444|cytoplasmic part; GO:0033036|macromolecule localization; GO:0051179|localization; GO:0043227|membrane-bounded organelle; GO:0044424|intracellular part; GO:0044464|cell part; GO:0042579|microbody;",PF04088|Peroxin-13_N;,NA,NA,NA,Ophio5|7884
Ophcf2|02304,GQ602_002304,"related to chromatin assembly complex, subunit p60",GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF12894|ANAPC4_WD40; PF00400|WD40;,NA,NA,NA,Ophio5|7885
Ophcf2|02305,GQ602_002305,"ABC transporter, transmembrane domain, type 1","GO:0035639|purine ribonucleoside triphosphate binding; GO:0005575|cellular_component; GO:0097159|organic cyclic compound binding; GO:0044425|membrane part; GO:0003674|molecular_function; GO:0042623|ATPase activity, coupled; GO:0032553|ribonucleotide binding; GO:0016887|ATPase activity; GO:0008144|drug binding; GO:0022857|transmembrane transporter activity; GO:0005488|binding; GO:0016787|hydrolase activity; GO:0042626|ATPase activity, coupled to transmembrane movement of substances; GO:0015399|primary active transmembrane transporter activity; GO:0016462|pyrophosphatase activity; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0022804|active transmembrane transporter activity; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003824|catalytic activity; GO:0051234|establishment of localization; GO:0017111|nucleoside-triphosphatase activity; GO:0017076|purine nucleotide binding; GO:0015405|P-P-bond-hydrolysis-driven transmembrane transporter activity; GO:0006810|transport; GO:0005524|ATP binding; GO:0043492|ATPase activity, coupled to movement of substances; GO:0032559|adenyl ribonucleotide binding; GO:0051179|localization; GO:1901265|nucleoside phosphate binding; GO:0016818|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; GO:0016021|integral component of membrane; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0036094|small molecule binding; GO:0005215|transporter activity; GO:0055085|transmembrane transport; GO:0016817|hydrolase activity, acting on acid anhydrides; GO:0030554|adenyl nucleotide binding;",PF00664|ABC_membrane; PF00005|ABC_tran;,Has signal peptide;,NA,14;,Ophio5|7886
Ophcf2|02306,GQ602_002306,related to TOB3 (member of AAA-ATPase family),"GO:0006950|response to stress; GO:0035639|purine ribonucleoside triphosphate binding; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0140097|catalytic activity, acting on DNA; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0009378|four-way junction helicase activity; GO:0008144|drug binding; GO:0005488|binding; GO:0016787|hydrolase activity; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006259|DNA metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0016462|pyrophosphatase activity; GO:0043167|ion binding; GO:0006974|cellular response to DNA damage stimulus; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003678|DNA helicase activity; GO:0003824|catalytic activity; GO:0006139|nucleobase-containing compound metabolic process; GO:0017111|nucleoside-triphosphatase activity; GO:0017076|purine nucleotide binding; GO:0033554|cellular response to stress; GO:0005524|ATP binding; GO:0032559|adenyl ribonucleotide binding; GO:0004386|helicase activity; GO:0044238|primary metabolic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0006310|DNA recombination; GO:0006281|DNA repair; GO:1901265|nucleoside phosphate binding; GO:0051716|cellular response to stimulus; GO:0016818|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0050896|response to stimulus; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0008152|metabolic process; GO:0016817|hydrolase activity, acting on acid anhydrides; GO:0030554|adenyl nucleotide binding;",PF05496|RuvB_N; PF00004|AAA;,NA,NA,NA,Ophio5|7887
Ophcf2|02307,GQ602_002307,related to Beclin 1 (coiled-coil myosin-like BCL2-interacting protein),NA,PF04111|APG6; PF17675|APG6_N;,NA,NA,NA,Ophio5|7888
Ophcf2|02308,GQ602_002308,centromere protein scm3 domain-containing protein,GO:0005575|cellular_component; GO:0005488|binding; GO:0043229|intracellular organelle; GO:0003674|molecular_function; GO:0043231|intracellular membrane-bounded organelle; GO:0005634|nucleus; GO:0043226|organelle; GO:0042393|histone binding; GO:0043227|membrane-bounded organelle; GO:0044424|intracellular part; GO:0044464|cell part; GO:0005515|protein binding;,PF10384|Scm3;,NA,NA,NA,Ophio5|7889
